,"b","a","Z","Y","X","W","V","U","T","S","R","Q","P","O","N","M","L","K","B","}","D","k","0","l","1","m","2","n","3","o","4","C","6","q","p","5","A","{","z","y",">","x","=","w","<","v",";","u","t","9","s","8","r","7","!",".","i","E","(","c","F",")","d","*","e","+","f",",","g","-","h","/","j","G","H","I","J",
795,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
806,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,795,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
799,781,806,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
792,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
810,,,,,,,,,,,,,,,,,,,,,,,810,,810,,810,,810,,810,,810,,,810,,,,,,,,,,,,,,810,,810,,810,,,,,,,,,,,,,,,,,,,,,,,,
802,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
803,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,799,,781,,781,,781,,781,781,781,781,781,
807,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,792,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
789,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
813,,,,,,,,,,,,,,,,,,,,,,,810,,810,,810,,810,,810,,810,,,810,,,,,,,,,,,,,,810,,810,,810,,,,,,,,,,,,,,,,,,,,,,,,
804,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,802,,781,,781,,781,,781,781,781,781,781,
805,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,803,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
800,781,807,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
796,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,789,,781,,781,,781,,781,781,781,781,781,
793,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
811,,,,,,,,,,,,,,,,,,,,,,,811,,811,,811,,811,,811,,811,,,811,,,,,,,,,,,,,,811,,811,,811,,,,813,,,,,,,,,,,,,,,,,,,,
798,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,781,804,781,781,781,781,781,781,781,781,781,781,781,781,781,,781,781,,781,,781,,781,,781,781,781,781,781,781,781,,,781,781,,781,781,,781,,781,,781,,781,,781,,781,781,781,781,781,
